"Timestamp","1a. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.","1b. Wat is de eerste letter van de voornaam van je moeder?","2. In welke klasgroep zit je?","3. Met welke hand schrijf je ?","4. Wat is je geslacht?","5. Wat is je schoenmaat?","6a. Wat is je lichaamslengte (in cm)?","6b. Wat is je gewicht (in kg)?","7a. Wat is je bloedgroep: AB0?","7b. Ga je je laten vaccineren?","8. Hoeveel broers/zussen heb je?","9. In hoeveel complottheorieën geloof je?","10. Welke afstudeerrichting denk je te kiezen?","11. Wat is je favoriete vrijetijdsbesteding?","12. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?","13. Hoe belangrijk is het voor jou om informaticus te worden?","14. Hoeveel uur werk je gemiddelde per week voor school? (buiten de schooluren)","15. Wat is de afstand van thuis/kot naar de KdG campus Groenplaats (in km)?","16. Hoe kom je naar school?","17. Wanneer gaat volgens jou de horeca terug open mogen?","18.  Hoeveel zakgeld krijg je of verdien je zelf per maand?","19. Hoeveel stukken/porties fruit eet je per dag?","20. Rangschik volgende fruitsoorten in volgorde van voorkeur: Aardbei, Ananas, Appel, Banaan, Kers, Kiwi, Meloen, Peer, Pruim, Sinaasappel","21. Welk besturingssysteem gebruik je het liefst?","22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen","23a. Als je jezelf op politieke spectrum zou plaatsen waar zou je dan staan op de HORIZONTALE as (Sociaal - Liberaal)?","23b. Als je jezelf op politieke spectrum zou plaatsen waar zou je dan staan op de VERTICALE as (Progressief - Conservatief)?","24. Welk zoogdier zou jij als klasmascotte verkiezen? Je hebt de keuze uit: Panter, Poema, Vos, Wolf, Bruine beer, Bever, Das, Bizon, Wasbeer, Otter. Sorteer ze van 1 tot 10.","25. Wat is volgens jou het zwaarste vak uit het eerste jaar?","26. Welke vak uit het eerste jaar TI vind je het meest  boeiend?","27. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  Wat is jou inschatting?	","28. De laatste vraag is de makkelijkste. Je hoeft helemaal niets in te vullen."
"2021/03/01 8:00:49 pm CET","4/13","P","INF103","Rechts","Man","43","176","67","A","Nee","1","1","Systeem en netwerkbeheer","Gamen","4","Groot","27:00","8","Met de tram","2021-04-05","€120,00","1 of minder","1=Aardbei,2=Sinaasappel,3=Pruim,4=Ananas,5=Banaan,6=Pruim,7=Kiwi,8=Appel,9=Kers,10=Meloen","Windows","Sociaal Netwerk App","10","10","1=Wasbeer,2=Bever,3=Panter,4=Vos,5=Poema,6=Bruine beer,7=Bizon,8=Das,9=Wolf,10=Otter","Programmeren 1 - Java","Databanken 1","26-30 uren","Sounds very SUS"
"2021/03/01 8:21:18 pm CET","62%","N","INF105","Rechts","Man","42","175","61","A","Nee","1","0","Applicatieontwikkeling - Full Stack","Internet/Social Media","6","Groot","25:00","10","Met de tram;Met de bus","2021-07-01","20","1 of minder","6=Aardbei,8=Ananas,2=Appel,1=Banaan,7=Kers,9=Kiwi,3=Meloen,4=Peer,10=Pruim,5=Sinaasappel","Windows","GPS App","8","7","1=Wasbeer,2=Wolf,3=Vos,4=Bruine beer,5=Panter,6=Poema,7=Das,8=Bizon,9=Bever,10=Otter","Management 1","Computersystemen 1","21-25 uren",""
"2021/03/01 8:35:53 pm CET","38%","A","INF103","Rechts","Man","45","187","78","Onbekend","Ja","2","0","Applicatieontwikkeling - Artificial Intelligence","Gamen","5","Groot","12:00","1","Met de fiets;Met de auto","2021-07-01","25","1 of minder","1=Aardbei,2=Ananas,3=Appel,4=Banaan,5=Kers,6=Kiwi,7=Meloen,8=Peer,9=Pruim,10=Sinaasappel","Windows","Bank App","0","0","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Management 1","Programmeren 1 - Java","11-15 uren",""
"2021/03/01 8:40:40 pm CET","15","R","INF107","Rechts","Vrouw","36","166","55","O","Ja","1","0","Software Management","Film/TV-series","2","Zeer Groot","11:10","33","Te voet;Met de trein;Met de tram;Met de bus","2021-03-22","150","1 of minder","1=Aardbei,2=Ananas,3=Meloen,4=Banaan,5=Kers,6=Pruim,7=Appel,8=Kiwi,9=Sinaasappel,10=Peer","Windows","Bank App","3","7","1=Otter,2=Vos,3=Bever,4=Wasbeer,5=Wolf,6=Poema,7=Panter,8=Bruine beer,9=Bizon,10=Das","Programmeren 1 - Java","Netwerken 1","",""
"2021/03/01 9:06:48 pm CET","3","a","INF107","Rechts","Man","41","174","60","A","Ja","1","0","Applicatieontwikkeling - Full Stack","Sport (beoefenen/supporteren)","4","Zeer Groot","08:00","5","Met de fiets","2021-04-30","120","1 of minder","1=Aardbei,2=Kers,3=Appel,4=Ananas,5=Banaan,6=Kiwi,7=Meloen,8=Peer,9=Sinaasappel,10=Pruim","Linux","Bank App","2","2","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Netwerken 1","Computersystemen 1","16-20 uren",""
"2021/03/01 9:22:56 pm CET","31%","E","INF101","Links","Man","43","178","67","Onbekend","Ja","1","0","Applicatieontwikkeling - Artificial Intelligence","Sport (beoefenen/supporteren)","3","Groot","05:00","45","Met de bus","2021-09-11","50","1 of minder","1=Appel,2=Ananas,3=Meloen,4=Peer,5=Aardbei,6=Kers,7=Pruim,8=Sinaasappel,9=Kiwi,10=Banaan","Windows","Compas App","6","3","1=Panter,2=Wasbeer,3=Otter,4=Otter,5=Bruine beer,6=Vos,7=Bizon,8=Das,9=Bever,10=Poema","Programmeren 1 - Java","Programmeren 1 - Java","16-20 uren","Vraag 29 kunt ge niet veralgemenen als in voor het ene vak is 1 studiepunt al wel veel meer werk dan het ander "
"2021/03/01 10:52:10 pm CET","69","A","INF103","Rechts","Man","44","180","78","Onbekend","Ja","1","0","Applicatieontwikkeling - Artificial Intelligence","Lezen","6","Groot","10:00","0.9","Te voet","2021-05-01","50","1 of minder","1=Aardbei,2=Appel,3=Banaan,4=Kiwi,5=Meloen,6=Ananas,7=Kers,8=Peer,9=Sinaasappel,10=Pruim","Linux","Comics lees App","5","3","1=Wolf,2=Vos,3=Bruine beer,4=Poema,5=Panter,6=Otter,7=Bever,8=Bizon,9=Das,10=Wasbeer","User interfaces 1","Data science 1","21-25 uren",""
"2021/03/01 11:31:10 pm CET","3","h","INF104","Rechts","Apache Helicopter","45","194","72","Onbekend","Nee","2","1","Applicatieontwikkeling - Full Stack","Gamen","8","Zeer Groot","08:00","23","Met de tram;Met de bus;Met de auto","2021-06-27","100","2","1=Aardbei,2=Banaan,3=Meloen,4=Kers,5=Sinaasappel,6=Appel,7=Pruim,8=Ananas,9=Peer,10=Kiwi","Windows","Sociaal Netwerk App","3","3","1=Vos,2=Panter,3=Bruine beer,4=Bever,5=Das,6=Wolf,7=Poema,8=Wasbeer,9=Otter,10=Bizon","Netwerken 1","Programmeren 1 - Java","21-25 uren","toch heeft iedereen hier iets ingevuld"
"2021/03/02 12:50:08 am CET","58%","W","INF103","Rechts","Man","39.5","166","51","Onbekend","Nee","2","0","Applicatieontwikkeling - Full Stack","Gamen","6","Groot","06:00","9","Met de tram;Met de bus","2021-05-20","0","1 of minder","1=Ananas,2=Sinaasappel,3=Pruim,4=Appel,5=Peer,6=Aardbei,7=Kers,8=Banaan,9=Kiwi,10=Meloen","Windows","GPS App","5","5","1=Bruine beer,2=Bever,3=Wasbeer,4=Das,5=Otter,6=Vos,7=Poema,8=Panter,9=Wolf,10=Bizon","Data science 1","Programmeren 1 - Embedded","21-25 uren",""
"2021/03/02 8:32:59 am CET","31%","J","INF103","Rechts","Man","44","197","76","O","Ja","4","5","Software Management","Film/TV-series","4","Zeer Groot","06:00","15","Met de fiets","2021-06-01","400","1 of minder","1=Kiwi,2=Banaan,3=Appel,4=Aardbei,5=Sinaasappel,6=Peer,7=Kers,8=Pruim,9=Meloen,10=Ananas","Linux","Bioscoop App","6","5","1=Wasbeer,2=Otter,3=Bruine beer,4=Wolf,5=Das,6=Vos,7=Bizon,8=Panter,9=Poema,10=Panter","Management 1","Programmeren 1 - Java","16-20 uren",""
