,Apparaat-ID,Apparaat,Datum,Uur,Meetwaarde,Eenheid,Kost (EUR),Meettype,Type apparaat
50,5653a456,wasmachine,2018-01-21,12:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
51,5653a456,wasmachine,2018-01-21,12:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
52,5653a456,wasmachine,2018-01-21,13:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
53,5653a456,wasmachine,2018-01-21,13:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
54,5653a456,wasmachine,2018-01-21,13:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
55,5653a456,wasmachine,2018-01-21,13:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
56,5653a456,wasmachine,2018-01-21,14:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
57,5653a456,wasmachine,2018-01-21,14:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
58,5653a456,wasmachine,2018-01-21,14:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
59,5653a456,wasmachine,2018-01-21,14:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
60,5653a456,wasmachine,2018-01-21,15:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
61,5653a456,wasmachine,2018-01-21,15:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
62,5653a456,wasmachine,2018-01-21,15:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
63,5653a456,wasmachine,2018-01-21,15:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
64,5653a456,wasmachine,2018-01-21,16:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
65,5653a456,wasmachine,2018-01-21,16:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
66,5653a456,wasmachine,2018-01-21,16:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
67,5653a456,wasmachine,2018-01-21,16:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
68,5653a456,wasmachine,2018-01-21,17:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
69,5653a456,wasmachine,2018-01-21,17:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
70,5653a456,wasmachine,2018-01-21,17:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
71,5653a456,wasmachine,2018-01-21,17:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
72,5653a456,wasmachine,2018-01-21,18:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
73,5653a456,wasmachine,2018-01-21,18:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
74,5653a456,wasmachine,2018-01-21,18:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
75,5653a456,wasmachine,2018-01-21,18:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
76,5653a456,wasmachine,2018-01-21,19:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
77,5653a456,wasmachine,2018-01-21,19:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
78,5653a456,wasmachine,2018-01-21,19:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
79,5653a456,wasmachine,2018-01-21,19:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
80,5653a456,wasmachine,2018-01-21,20:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
81,5653a456,wasmachine,2018-01-21,20:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
82,5653a456,wasmachine,2018-01-21,20:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
83,5653a456,wasmachine,2018-01-21,20:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
84,5653a456,wasmachine,2018-01-21,21:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
85,5653a456,wasmachine,2018-01-21,21:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
86,5653a456,wasmachine,2018-01-21,21:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
87,5653a456,wasmachine,2018-01-21,21:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
88,5653a456,wasmachine,2018-01-21,22:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
89,5653a456,wasmachine,2018-01-21,22:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
90,5653a456,wasmachine,2018-01-21,22:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
91,5653a456,wasmachine,2018-01-21,22:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
92,5653a456,wasmachine,2018-01-21,23:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
93,5653a456,wasmachine,2018-01-21,23:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
94,5653a456,wasmachine,2018-01-21,23:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
95,5653a456,wasmachine,2018-01-21,23:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
96,5653a456,wasmachine,2018-01-22,00:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
97,5653a456,wasmachine,2018-01-22,00:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
98,5653a456,wasmachine,2018-01-22,00:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
99,5653a456,wasmachine,2018-01-22,00:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
100,5653a456,wasmachine,2018-01-22,01:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
101,5653a456,wasmachine,2018-01-22,01:15,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
102,5653a456,wasmachine,2018-01-22,01:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
103,5653a456,wasmachine,2018-01-22,01:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
104,5653a456,wasmachine,2018-01-22,02:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
105,5653a456,wasmachine,2018-01-22,02:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
106,5653a456,wasmachine,2018-01-22,02:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
107,5653a456,wasmachine,2018-01-22,02:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
108,5653a456,wasmachine,2018-01-22,03:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
109,5653a456,wasmachine,2018-01-22,03:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
110,5653a456,wasmachine,2018-01-22,03:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
111,5653a456,wasmachine,2018-01-22,03:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
112,5653a456,wasmachine,2018-01-22,04:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
113,5653a456,wasmachine,2018-01-22,04:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
114,5653a456,wasmachine,2018-01-22,04:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
115,5653a456,wasmachine,2018-01-22,04:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
116,5653a456,wasmachine,2018-01-22,05:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
117,5653a456,wasmachine,2018-01-22,05:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
118,5653a456,wasmachine,2018-01-22,05:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
119,5653a456,wasmachine,2018-01-22,05:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
120,5653a456,wasmachine,2018-01-22,06:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
121,5653a456,wasmachine,2018-01-22,06:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
122,5653a456,wasmachine,2018-01-22,06:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
123,5653a456,wasmachine,2018-01-22,06:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
124,5653a456,wasmachine,2018-01-22,07:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
125,5653a456,wasmachine,2018-01-22,07:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
126,5653a456,wasmachine,2018-01-22,07:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
127,5653a456,wasmachine,2018-01-22,07:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
128,5653a456,wasmachine,2018-01-22,08:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
129,5653a456,wasmachine,2018-01-22,08:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
130,5653a456,wasmachine,2018-01-22,08:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
131,5653a456,wasmachine,2018-01-22,08:45,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
132,5653a456,wasmachine,2018-01-22,09:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
133,5653a456,wasmachine,2018-01-22,09:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
134,5653a456,wasmachine,2018-01-22,09:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
135,5653a456,wasmachine,2018-01-22,09:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
136,5653a456,wasmachine,2018-01-22,10:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
137,5653a456,wasmachine,2018-01-22,10:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
138,5653a456,wasmachine,2018-01-22,10:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
139,5653a456,wasmachine,2018-01-22,10:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
140,5653a456,wasmachine,2018-01-22,11:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
141,5653a456,wasmachine,2018-01-22,11:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
142,5653a456,wasmachine,2018-01-22,11:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
143,5653a456,wasmachine,2018-01-22,11:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
